probability_bin,mean_prediction,win_rate,games,model
"(-0.001, 0.1]",0.0477292651502082,0.050586510263929615,1364,Gold + side
"(0.1, 0.2]",0.14837031224781203,0.1374187558031569,1077,Gold + side
"(0.2, 0.3]",0.2475362001767554,0.23737916219119226,931,Gold + side
"(0.3, 0.4]",0.3512781365738147,0.37641154328732745,797,Gold + side
"(0.4, 0.5]",0.44945701804318183,0.45901639344262296,793,Gold + side
"(0.5, 0.6]",0.5527501290962197,0.5452229299363057,785,Gold + side
"(0.6, 0.7]",0.650802652411529,0.6443418013856813,866,Gold + side
"(0.7, 0.8]",0.7527333603679285,0.7621621621621621,925,Gold + side
"(0.8, 0.9]",0.8528796238630962,0.8416955017301038,1156,Gold + side
"(0.9, 1.0]",0.9540804392628298,0.9570135746606335,1768,Gold + side
"(-0.001, 0.1]",0.04624713481759165,0.04582210242587601,1484,Current state
"(0.1, 0.2]",0.14865081180727246,0.13725490196078433,1020,Current state
"(0.2, 0.3]",0.24903428352398624,0.23273942093541203,898,Current state
"(0.3, 0.4]",0.348026881615307,0.3572327044025157,795,Current state
"(0.4, 0.5]",0.4497704070369331,0.46701846965699206,758,Current state
"(0.5, 0.6]",0.549171460425014,0.5640050697084917,789,Current state
"(0.6, 0.7]",0.6505777581162934,0.6563658838071693,809,Current state
"(0.7, 0.8]",0.751178240423969,0.7562296858071506,923,Current state
"(0.8, 0.9]",0.8532963603128844,0.8430127041742287,1102,Current state
"(0.9, 1.0]",0.9569307778057531,0.9554140127388535,1884,Current state
"(-0.001, 0.1]",0.04608391009126874,0.0456989247311828,1488,State + trajectory
"(0.1, 0.2]",0.14827058641106391,0.14356435643564355,1010,State + trajectory
"(0.2, 0.3]",0.24886416561825847,0.23169398907103825,915,State + trajectory
"(0.3, 0.4]",0.34832434252690747,0.34838709677419355,775,State + trajectory
"(0.4, 0.5]",0.4505651838433067,0.46514575411913817,789,State + trajectory
"(0.5, 0.6]",0.5495962027757951,0.5811170212765957,752,State + trajectory
"(0.6, 0.7]",0.6506946567653751,0.6460606060606061,825,State + trajectory
"(0.7, 0.8]",0.75140730510599,0.7537960954446855,922,State + trajectory
"(0.8, 0.9]",0.8540850971810297,0.8456014362657092,1114,State + trajectory
"(0.9, 1.0]",0.9575190132475782,0.9556623931623932,1872,State + trajectory
