league,teamname,n,actual_wins,expected_wins,mean_expected,residual_mean,residual_sd,efficiency,efficiency_pp,se_pp,ci95_pp
LEC,G2 Esports,37,33,27.9375907536405,0.7550700203686621,0.1368218715232298,0.3260765369565128,0.0755583469605896,7.555834696058961,2.9603673746395205,5.80232005429346
LCS,Counter Logic Gaming,22,20,16.094751033409707,0.731579592427714,0.17751131666319517,0.30057219941484054,0.07510094166519796,7.510094166519796,2.7111703482695355,5.31389388260829
LCK,T1,73,61,54.10736432454936,0.7411967715691693,0.09441966678699511,0.3379471512558048,0.06691879296554022,6.691879296554022,2.80332206412523,5.494511245685451
LCS,Evil Geniuses,49,45,39.833567810249676,0.8129299553112179,0.10543739162755761,0.26624616300398557,0.06539787581962433,6.539787581962433,2.3591432164910118,4.623920704322383
LCK,Gen.G,62,57,51.630012288724714,0.8327421336891083,0.08661270502056913,0.2761397072838784,0.05836943164429659,5.836943164429659,2.3633980755223645,4.632260228023834
LCS,FlyQuest,20,17,14.377639703694932,0.7188819851847466,0.13111801481525343,0.3530085277247574,0.05244720592610137,5.244720592610137,3.157404258518706,6.188512346696664
LCK,Dplus Kia,67,54,49.15933751456883,0.7337214554413258,0.07224869381240553,0.39379195313414844,0.04990373696320795,4.990373696320795,3.323016551678008,6.513112441288896
LEC,Rogue,41,35,31.87511079877691,0.7774417267994368,0.07621680978592903,0.3137331832570676,0.044012523960888596,4.40125239608886,2.829397957465199,5.54561999663179
LCK,Liiv SANDBOX,29,24,22.11187708008943,0.7624785200030838,0.06510768689346785,0.3578548125488514,0.03200208338831471,3.200208338831471,3.2662832925454053,6.401915253388994
LCK,HANJIN BRION,31,24,22.983417527577362,0.7414005654057214,0.03279298298137542,0.3876128704924519,0.016665286433158,1.6665286433158,3.5379297162329877,6.934342243816656
LEC,Excel Esports,25,19,18.237742408353448,0.7295096963341379,0.03049030366586206,0.41803497464319117,0.013859228939028209,1.385922893902821,3.800317951301738,7.448623184551407
LCK,Nongshim RedForce,37,28,27.154630950584625,0.7339089446103952,0.022847812146361505,0.3731279670982434,0.012617448498736951,1.2617448498736952,3.3875355481664804,6.639569674406301
LCS,Cloud9,43,35,34.08100792602947,0.792581579675104,0.02137190869698908,0.35128143873917106,0.012588932520144251,1.2588932520144251,3.1554882729595524,6.184757015000723
LCK,DRX,46,35,34.089091735058894,0.7410672116317151,0.01980235358567618,0.4104734436127082,0.01198563506501453,1.198563506501453,3.6631136103830926,7.179702676350861
LCS,100 Thieves,39,30,29.27349324443492,0.7506023908829467,0.01862837834782258,0.3701678256366533,0.010529083413986675,1.0529083413986675,3.3502859857570826,6.566560532083882
LCS,Team Liquid,61,46,45.851864243346476,0.7516699056286308,0.002428455027107001,0.3789924304722678,0.0016278654577310666,0.16278654577310667,3.2527752827111045,6.375439554113765
LEC,Fnatic,32,26,27.091124038250676,0.8465976261953336,-0.034097626195333644,0.38191794628037734,-0.017598774810494783,-1.7598774810494784,3.484603479634766,6.829822820084141
LCK,DN SOOPers,42,30,31.28054813302028,0.7447749555481019,-0.0304892412623876,0.408284496473418,-0.017785390736392768,-1.7785390736392768,3.6749804900336667,7.202961760465986
LCK,KT Rolster,49,36,37.74048569327947,0.7702139937403973,-0.035520116189376845,0.4139243608899283,-0.022031464471891967,-2.2031464471891966,3.6676842104170864,7.188661052417489
LCS,TSM,20,13,14.183018615767018,0.7091509307883509,-0.059150930788350875,0.40317850843415143,-0.02366037231534035,-2.366037231534035,3.6061382077029394,7.068030887097761
LCK,Hanwha Life Esports,28,18,20.150860356196276,0.719673584149867,-0.07681644129272412,0.4504218523105651,-0.03708379924476337,-3.708379924476337,4.1093248492511,8.054276704532155
LEC,MAD Lions KOI,27,18,20.848006993738572,0.7721484071755027,-0.10548174050883606,0.43450530727902315,-0.04996503497786971,-4.9965034977869704,3.960975096661027,7.763511189455613
LCS,Golden Guardians,26,16,19.400048353246746,0.7461557058941056,-0.1307710905094902,0.47133889415392094,-0.060715149165120455,-6.0715149165120454,4.291725390725156,8.411781765821305
LEC,Team Vitality,28,17,21.34017003549449,0.762148929839089,-0.15500607269623182,0.4769782278707874,-0.07483051785335329,-7.483051785335329,4.351606109442762,8.529147974507813
