league,teamname,n,actual_wins,expected_wins,mean_expected,residual_mean,residual_sd,efficiency,efficiency_pp,se_pp,ci95_pp
LCK,T1,27,13,7.453664974464506,0.2760616657209076,0.20541981576057383,0.47760165219380957,0.09730412325500866,9.730412325500867,4.353843828307989,8.533533903483658
LCK,Gen.G,33,15,9.892495542467707,0.2997725921959911,0.15477286234946344,0.47644838695487257,0.08107149932590942,8.107149932590941,4.344424772546441,8.515072554191024
LCS,100 Thieves,31,12,7.388053210620511,0.23832429711679065,0.1487724770767577,0.4412289398506923,0.0756056850717949,7.5605685071794895,4.02730945434419,7.893526530514611
LEC,G2 Esports,25,9,5.419497215108035,0.2167798886043214,0.1432201113956786,0.4005883326465515,0.06510005063439937,6.510005063439937,3.64171211496865,7.137755745338555
LCK,Liiv SANDBOX,60,18,13.487155169379873,0.22478591948966456,0.07521408051033546,0.41662889352086996,0.05014272034022364,5.0142720340223645,3.585770591455894,7.028110359253552
LEC,Misfits Gaming,32,8,5.137743456875898,0.16055448302737182,0.08944551697262818,0.4061389429504213,0.046165428114904865,4.616542811490486,3.7055948472797318,7.2629659006682745
LEC,SK Gaming,27,8,5.8249478731271935,0.215738810115822,0.08055748618047433,0.4220081281547523,0.03815880924338258,3.815880924338258,3.847050100900363,7.540218197764712
LEC,Fnatic,32,11,9.055399582095484,0.2829812369404839,0.06076876305951612,0.4424673932251936,0.031364522869427675,3.1364522869427676,4.037054118754439,7.9126260727587
LCS,Evil Geniuses,37,12,10.831711119762303,0.29274894918276495,0.03157537514155935,0.4545514047810786,0.01743714746623427,1.743714746623427,4.126758586711588,8.088446829954712
LCS,Cloud9,29,9,8.62547590935614,0.2974302037709014,0.012914623815305507,0.4073570547625387,0.006347865943116267,0.6347865943116267,3.7181099580426893,7.287495517763671
LCK,DRX,49,12,11.844955586186773,0.24173378747319943,0.0031641717104740233,0.3792551208572364,0.0019625875166231284,0.19625875166231285,3.3604884126590564,6.5865572888117505
LCS,Counter Logic Gaming,36,7,7.047420778842246,0.1957616883011735,-0.0013172438567290415,0.3494695748220003,-0.0007184966491249316,-0.07184966491249317,3.176996134745458,6.226912424101097
LCS,Team Liquid,20,6,6.103868016665991,0.30519340083329954,-0.0051934008332995465,0.41363500339870535,-0.0020773603333198187,-0.20773603333198187,3.6996639418914463,7.251341326107235
LCS,FlyQuest,38,9,9.29823848001429,0.2446904863161655,-0.007848381053007615,0.42190873905254794,-0.004385860000210138,-0.4385860000210138,3.8247354985154565,7.496481577090295
LEC,Rogue,22,5,5.583716710756588,0.25380530503439036,-0.02653257776166309,0.42206645242103363,-0.011225321360703614,-1.1225321360703615,3.80705219255458,7.461822297406976
LCS,Dignitas,34,7,8.330850878761696,0.24502502584593225,-0.03914267290475579,0.3451270156922734,-0.020794544980651513,-2.0794544980651515,3.144404728301821,6.163033267471569
LCS,TSM,30,4,5.485318261326391,0.18284394204421303,-0.04951060871087971,0.3036300046654903,-0.024755304355439853,-2.4755304355439853,2.7717500448447976,5.432630087895803
LCK,Dplus Kia,34,7,8.626453886422132,0.25371923195359214,-0.04783687901241563,0.40983960633860894,-0.025413341975345803,-2.5413341975345802,3.7339922330668185,7.318624776810964
LCK,KT Rolster,44,10,12.0457540149955,0.2737671367044432,-0.04649440943171592,0.42626762758925946,-0.027645324526966223,-2.7645324526966224,3.8209994080770846,7.489158839831085
LEC,Excel Esports,22,4,5.659823217322243,0.2572646916964656,-0.0754465098782838,0.40851415499578164,-0.031919677256196995,-3.1919677256196994,3.684810059044549,7.222227715727316
LEC,Astralis,25,4,6.044761984251585,0.24179047937006343,-0.08179047937006341,0.3914593058142822,-0.0371774906227561,-3.7177490622756095,3.5587209619480196,6.975093085418118
LEC,Team BDS,23,2,4.487405477487804,0.1951045859777306,-0.10814806423860017,0.2760204143257777,-0.0469321788205246,-4.69321788205246,2.49763661151208,4.895367758563677
LCK,DN SOOPers,50,6,10.779316260067336,0.2155863252013467,-0.09558632520134673,0.2885376453268443,-0.0597414532508417,-5.97414532508417,2.5503365704776315,4.998659678136158
LCK,Hanwha Life Esports,61,6,11.907570356236711,0.19520607141371657,-0.09684541567601165,0.2817084560615607,-0.06491835556304078,-6.4918355563040775,2.4178168985219437,4.73892112110301
LCS,Golden Guardians,25,1,5.53779003241246,0.22151160129649838,-0.18151160129649838,0.22081889963844734,-0.08250527331659017,-8.250527331659017,2.007444542167703,3.9345913026486983
LCS,Immortals,26,1,5.6628643840431305,0.21780247630935118,-0.17934093784781271,0.2288587288723839,-0.08326543542934162,-8.32654354293416,2.0838484363862966,4.084342935317141
LCK,HANJIN BRION,56,8,15.96295588722128,0.28505278370038,-0.14219564084323716,0.31613812135968855,-0.09259251031652652,-9.259251031652651,2.7508849698286406,5.391734540864135
LCK,Nongshim RedForce,50,2,11.751330136358686,0.2350266027271737,-0.1950266027271737,0.19975624859367075,-0.12189162670448357,-12.189162670448358,1.765612474562129,3.460600450141773
