gameid,date,league,teamname,opponent,result,golddiffat20,xpdiffat20,csdiffat20,killdiff,gold_velocity,p_gold,p_state,state_edge
ESPORTSTMNT01_2740268,2022-02-22 00:29:48,PGC,Immortals Area of Effect,Illinois State University,1,1217.0,-3679.0,86.0,-9.0,-1737.0,0.6309600400643158,0.3219446163101296,-0.3090154237541862
ESPORTSTMNT03_2635023,2022-03-31 00:20:01,LCSA,TSM Academy,Immortals Area of Effect,1,1084.0,-3487.0,77.0,-6.0,-1230.0,0.6167391718158945,0.32198558974600033,-0.2947535820698942
ESPORTSTMNT02_2558896,2022-02-19 09:45:23,VCS,GAM Esports,Team Flash,1,1685.0,-3182.0,17.0,-3.0,-2098.0,0.6826864334168983,0.38814619835407416,-0.2945402350628241
ESPORTSTMNT03_2701926,2022-05-10 09:34:31,MSI,G2 Esports,ORDER,1,500.0,-3601.0,-15.0,-3.0,-2216.0,0.5597175160125465,0.2658575460095911,-0.2938599700029554
ESPORTSTMNT04_2170372,2022-03-01 15:25:17,UL,Goskilla,devils.one,0,765.0,-3687.0,0.0,-5.0,260.0,0.5886460829768432,0.2968168892025565,-0.2918291937742867
ESPORTSTMNT04_2140079,2022-01-23 10:25:53,TCL,Fenerbahçe Esports,Beşiktaş Esports,0,123.0,-4172.0,26.0,-6.0,-1196.0,0.5127653322562353,0.22506266701953492,-0.2877026652367004
ESPORTSTMNT02_3046747,2022-10-12 15:51:43,NLC Aurora Open,Astralis Talent,Karolinerna,0,2157.0,-3469.0,-41.0,0.0,-2968.0,0.725635755975715,0.44551345112715357,-0.2801223048485614
ESPORTSTMNT03_3061208,2022-11-15 20:33:54,IC,Team Heretics,Barça eSports,1,340.0,-4063.0,50.0,-8.0,-2448.0,0.5351483354944995,0.2571533523003555,-0.27799498319414395
NA1_4260093289,2022-03-30 00:22:39,UPL,"University of California, Irvine",Ginger Turmeric,0,1234.0,-3527.0,-14.0,-1.0,-2608.0,0.636924538461241,0.3625189613982127,-0.27440557706302826
NA1_4173661673,2022-01-12 02:28:24,PGC,Wildcard Aces,Winthrop University,0,501.0,-4047.0,-77.0,-2.0,274.0,0.5529490529371368,0.2814541291746536,-0.2714949237624832
ESPORTSTMNT03_2569008,2022-02-23 17:48:55,NLC,Bifrost,Astralis Talent,1,1010.0,-3337.0,-42.0,-4.0,-2410.0,0.6114722300824682,0.34075555227983645,-0.27071667780263176
ESPORTSTMNT05_2980212,2022-07-20 09:05:00,LCK,DRX,HANJIN BRION,1,2212.0,-2853.0,-28.0,-3.0,-95.0,0.7293001847224927,0.45902342566137616,-0.27027675906111653
ESPORTSTMNT02_2556246,2022-02-06 16:22:14,PRM,PENTA 1860,Unicorns of Love Sexy Edition,0,1588.0,-3119.0,-16.0,-3.0,-86.0,0.669093463717978,0.40343215300389423,-0.2656613107140837
ESPORTSTMNT03_2546630,2022-02-19 00:30:36,LCSA,TSM Academy,CLG Academy,1,206.0,-4421.0,-124.0,2.0,-801.0,0.524183233206128,0.25859965592298384,-0.2655835772831442
ESPORTSTMNT01_2706368,2022-01-24 08:40:51,LCO,Chiefs Esports Club,ORDER,1,994.0,-2912.0,3.0,-7.0,-1024.0,0.607187830576001,0.34178295828396343,-0.2654048722920376
