gameid,date,league,teamname,opponent,result,golddiffat20,xpdiffat20,csdiffat20,killdiff,gold_velocity,p_gold,p_state,state_edge
ESPORTSTMNT03_3062021,2022-11-19 03:29:34,LAS,KT Rolster Academy,Dplus Kia Youth,1,-14579.0,-8029.0,-142.0,-14.0,-7385.0,0.0013598655592944042,0.0014287667510249902,6.890119173058595e-05
ESPORTSTMNT03_3062289,2022-11-20 04:49:21,LAS,Dplus Kia Youth,DRX Academy,1,-11322.0,-8070.0,-81.0,-12.0,-3780.0,0.005862747059817819,0.004743743109181131,-0.0011190039506366878
NA1_4268968801,2022-04-08 02:16:00,UPL,Last Resistance,University of Michigan,1,-8530.0,-9737.0,-4.0,-14.0,-7935.0,0.02041547954796341,0.0061403616833015096,-0.014275117864661901
ESPORTSTMNT02_3057215,2022-10-12 18:39:26,NLC Aurora Open,Cabbage Family,X7 Esports,1,-11381.0,-5019.0,-71.0,-13.0,-4578.0,0.0059083318517634265,0.0069472084368397136,0.001038876585076287
NA1_4355107253,2022-06-28 23:43:00,PGC,Team Pending,Team Ambition,1,-8134.0,-6865.0,-118.0,-10.0,-2139.0,0.02466141758531415,0.011718012907684316,-0.012943404677629833
ESPORTSTMNT01_3162532,2022-11-02 20:13:28,IC,Falcons,Team Heretics,1,-8141.0,-6967.0,-116.0,-7.0,-4047.0,0.024914588441602492,0.012967349268453054,-0.011947239173149438
NA1_4268835058,2022-04-07 04:13:00,UPL,"University of California, Irvine",Team Ambition,1,-9024.0,-5845.0,-15.0,-13.0,-2587.0,0.017320229727826153,0.013023651046537188,-0.004296578681288965
ESPORTSTMNT03_2654869,2022-03-30 23:18:26,LCSA,Immortals Area of Effect,TSM Academy,1,-8188.0,-6204.0,-58.0,-9.0,-4181.0,0.02496354433260589,0.016302569053241123,-0.008660975279364769
ESPORTSTMNT04_2200212,2022-02-25 20:22:24,LEC,Misfits Gaming,G2 Esports,1,-10402.0,-2687.0,-122.0,-7.0,-2377.0,0.008978071793419362,0.017495468624186383,0.008517396830767021
ESPORTSTMNT04_2471606,2022-08-16 10:46:27,LCKC,KT Rolster Challengers,Nongshim Esports Academy,1,-7452.0,-6803.0,-82.0,-7.0,-3043.0,0.03281798436143363,0.017783864141756422,-0.015034120219677205
NA1_4469206325,2022-10-22 00:17:35,UPL,University of St. Thomas,Team Fish Taco,1,-8901.0,-4322.0,-30.0,-10.0,-2478.0,0.017969036542012207,0.01788850648022733,-8.053006178487809e-05
NA1_4246046450,2022-03-16 00:30:39,UPL,Aquatik Esports,"University of California, San Diego",1,-7587.0,-5998.0,-119.0,-6.0,-5178.0,0.031154203793900825,0.022309013390303667,-0.008845190403597158
ESPORTSTMNT03_2637778,2022-04-13 12:50:25,VCS,GAM Esports,SBTC Esports,1,-9242.0,-1782.0,-71.0,-11.0,-88.0,0.015293793517789478,0.024466112437862675,0.009172318920073197
ESPORTSTMNT01_2800345,2022-03-15 21:44:02,PGC,Taco Gaming,No Team,1,-6197.0,-4947.0,-70.0,-12.0,-2223.0,0.058182096398196104,0.02774186642004761,-0.030440229978148492
ESPORTSTMNT05_2943011,2022-07-17 19:51:18,CBLOL,Liberty,Flamengo MDL,1,-7119.0,-4540.0,-69.0,-9.0,-3563.0,0.03848668938379762,0.02846207215283797,-0.010024617230959654
