gameid,date,league,teamname,opponent,result,golddiffat20,xpdiffat20,csdiffat20,killdiff,gold_velocity,p_gold,p_state,state_edge
ESPORTSTMNT03_3062021,2022-11-19 03:29:34,LAS,Dplus Kia Youth,KT Rolster Academy,0,14579.0,8029.0,142.0,14.0,7385.0,0.9986401344407057,0.998571233248975,-6.890119173064146e-05
ESPORTSTMNT03_3062289,2022-11-20 04:49:21,LAS,DRX Academy,Dplus Kia Youth,0,11322.0,8070.0,81.0,12.0,3780.0,0.9941372529401824,0.9952562568908188,0.0011190039506363547
NA1_4268968801,2022-04-08 02:16:00,UPL,University of Michigan,Last Resistance,0,8530.0,9737.0,4.0,14.0,7935.0,0.9795845204520366,0.9938596383166984,0.014275117864661846
ESPORTSTMNT02_3057215,2022-10-12 18:39:26,NLC Aurora Open,X7 Esports,Cabbage Family,0,11381.0,5019.0,71.0,13.0,4578.0,0.9940916681482366,0.9930527915631603,-0.001038876585076287
NA1_4355107253,2022-06-28 23:43:00,PGC,Team Ambition,Team Pending,0,8134.0,6865.0,118.0,10.0,2139.0,0.9753385824146859,0.9882819870923159,0.01294340467763
ESPORTSTMNT01_3162532,2022-11-02 20:13:28,IC,Team Heretics,Falcons,0,8141.0,6967.0,116.0,7.0,4047.0,0.9750854115583976,0.9870326507315469,0.011947239173149327
NA1_4268835058,2022-04-07 04:13:00,UPL,Team Ambition,"University of California, Irvine",0,9024.0,5845.0,15.0,13.0,2587.0,0.9826797702721738,0.9869763489534629,0.004296578681289076
ESPORTSTMNT03_2654869,2022-03-30 23:18:26,LCSA,TSM Academy,Immortals Area of Effect,0,8188.0,6204.0,58.0,9.0,4181.0,0.9750364556673943,0.9836974309467588,0.008660975279364491
ESPORTSTMNT04_2200212,2022-02-25 20:22:24,LEC,G2 Esports,Misfits Gaming,0,10402.0,2687.0,122.0,7.0,2377.0,0.9910219282065806,0.9825045313758136,-0.008517396830767021
ESPORTSTMNT04_2471606,2022-08-16 10:46:27,LCKC,Nongshim Esports Academy,KT Rolster Challengers,0,7452.0,6803.0,82.0,7.0,3043.0,0.9671820156385663,0.9822161358582435,0.015034120219677205
NA1_4469206325,2022-10-22 00:17:35,UPL,Team Fish Taco,University of St. Thomas,0,8901.0,4322.0,30.0,10.0,2478.0,0.9820309634579878,0.9821114935197726,8.053006178476707e-05
NA1_4246046450,2022-03-16 00:30:39,UPL,"University of California, San Diego",Aquatik Esports,0,7587.0,5998.0,119.0,6.0,5178.0,0.9688457962060992,0.9776909866096963,0.008845190403597103
ESPORTSTMNT03_2637778,2022-04-13 12:50:25,VCS,SBTC Esports,GAM Esports,0,9242.0,1782.0,71.0,11.0,88.0,0.9847062064822105,0.9755338875621373,-0.009172318920073197
ESPORTSTMNT01_2800345,2022-03-15 21:44:02,PGC,No Team,Taco Gaming,0,6197.0,4947.0,70.0,12.0,2223.0,0.941817903601804,0.9722581335799523,0.030440229978148325
ESPORTSTMNT05_2943011,2022-07-17 19:51:18,CBLOL,Flamengo MDL,Liberty,0,7119.0,4540.0,69.0,9.0,3563.0,0.9615133106162024,0.9715379278471621,0.01002461723095971
