gold_bin,trajectory,win_rate,n,mean_gold
"(-6000.001, -5000.0]",Shrinking (>500g lost),0.07758620689655173,812,-5478.174876847291
"(-6000.001, -5000.0]",Stable (within 500g),0.16923076923076924,65,-5432.7692307692305
"(-5000.0, -4000.0]",Growing (>500g gained),0.2,45,-4507.533333333334
"(-5000.0, -4000.0]",Shrinking (>500g lost),0.11213991769547325,972,-4487.7170781893
"(-5000.0, -4000.0]",Stable (within 500g),0.13008130081300814,123,-4425.227642276423
"(-4000.0, -3000.0]",Growing (>500g gained),0.20270270270270271,74,-3431.0135135135133
"(-4000.0, -3000.0]",Shrinking (>500g lost),0.16886792452830188,1060,-3489.7915094339623
"(-4000.0, -3000.0]",Stable (within 500g),0.2,220,-3454.6363636363635
"(-3000.0, -2000.0]",Growing (>500g gained),0.2671232876712329,146,-2451.698630136986
"(-3000.0, -2000.0]",Shrinking (>500g lost),0.2252336448598131,1070,-2512.6242990654205
"(-3000.0, -2000.0]",Stable (within 500g),0.2727272727272727,330,-2483.193939393939
"(-2000.0, -1000.0]",Growing (>500g gained),0.3906810035842294,279,-1458.6129032258063
"(-2000.0, -1000.0]",Shrinking (>500g lost),0.3106145251396648,895,-1496.1709497206705
"(-2000.0, -1000.0]",Stable (within 500g),0.3822937625754527,497,-1469.8088531187122
"(-1000.0, 0.0]",Growing (>500g gained),0.5200845665961945,473,-470.338266384778
"(-1000.0, 0.0]",Shrinking (>500g lost),0.40308988764044945,712,-542.5955056179776
"(-1000.0, 0.0]",Stable (within 500g),0.4585537918871252,567,-501.13403880070547
"(0.0, 1000.0]",Growing (>500g gained),0.5974754558204769,713,544.6395511921459
"(0.0, 1000.0]",Shrinking (>500g lost),0.4799154334038055,473,472.4524312896406
"(0.0, 1000.0]",Stable (within 500g),0.5414462081128748,567,501.13403880070547
"(1000.0, 2000.0]",Growing (>500g gained),0.6890380313199105,894,1497.84451901566
"(1000.0, 2000.0]",Shrinking (>500g lost),0.6079136690647482,278,1460.2625899280577
"(1000.0, 2000.0]",Stable (within 500g),0.6177062374245473,497,1469.8088531187122
"(2000.0, 3000.0]",Growing (>500g gained),0.7759103641456583,1071,2514.0130718954247
"(2000.0, 3000.0]",Shrinking (>500g lost),0.7328767123287672,146,2451.698630136986
"(2000.0, 3000.0]",Stable (within 500g),0.7280966767371602,331,2484.7552870090635
"(3000.0, 4000.0]",Growing (>500g gained),0.8305084745762712,1062,3492.635593220339
"(3000.0, 4000.0]",Shrinking (>500g lost),0.7972972972972973,74,3431.0135135135133
"(3000.0, 4000.0]",Stable (within 500g),0.8,220,3459.181818181818
"(4000.0, 5000.0]",Growing (>500g gained),0.8884297520661157,968,4489.732438016529
"(4000.0, 5000.0]",Shrinking (>500g lost),0.8043478260869565,46,4518.239130434783
"(4000.0, 5000.0]",Stable (within 500g),0.8688524590163934,122,4428.713114754099
"(5000.0, 6000.0]",Growing (>500g gained),0.9224137931034483,812,5478.174876847291
"(5000.0, 6000.0]",Stable (within 500g),0.8307692307692308,65,5432.7692307692305
