league,complete,partial
ASCI,0,74
CBLOL,243,0
CBLOLA,216,0
CDF,76,0
CT,26,0
DCup,0,77
DDH,209,0
EBL,166,0
EBLPA,19,0
EL,135,0
ESLOL,240,0
EUM,267,0
GL,174,0
GLL,156,0
GLLPA,47,0
HC,162,0
HM,153,0
IC,75,0
LAS,224,0
LCK,467,0
LCKC,395,0
LCL,16,0
LCO,212,0
LCS,306,0
LCSA,540,0
LDL,0,942
LEC,243,0
LFL,247,0
LFL2,241,0
LHE,244,0
LJL,215,0
LJLA,38,0
LLA,187,0
LMF,320,0
LPL,0,786
LPLOL,213,0
LVP SL,245,0
MSI,80,0
NEXO,194,0
NLC,244,0
NLC Aurora Open,140,0
PCS,273,0
PGC,501,0
PGN,150,0
PRM,237,0
PRMP,135,0
SL (LATAM),165,0
TAL,205,0
TCL,223,0
UL,244,0
UPL,344,0
USP,34,0
VCS,325,0
VL,170,0
WLDs,141,14
