checkpoint,model,brier,log_loss,auc
10,Gold + side,0.19749260356189596,0.5777396114620628,0.7639937064369362
10,Current state,0.19603352110729572,0.5744196658138754,0.7677892404618074
10,State + trajectory,0.19603352110729572,0.5744196658138754,0.7677892404618074
15,Gold + side,0.17229475722749443,0.5148371697345392,0.8218559254799124
15,Current state,0.169801874792032,0.5093022697093798,0.8270157771909444
15,State + trajectory,0.16992465307977384,0.5096316397904362,0.8267590039800752
20,Gold + side,0.14581035500424727,0.44672023147265333,0.8717273894095101
20,Current state,0.14171377807758323,0.4361358821287557,0.8784935172985512
20,State + trajectory,0.14172569829258025,0.43608253250173906,0.8785124477216084
25,Gold + side,0.1197944590761679,0.3760325169294946,0.9117612378875101
25,Current state,0.11540486434901248,0.3637019315971614,0.9178087505200705
25,State + trajectory,0.11520106053540408,0.363255175657806,0.9180185734454942
