grouping,group,model,games,brier,log_loss
league,CBLOL,gold,173,0.141117964283395,0.4337176153393117
league,CBLOL,state,173,0.14308072167877645,0.4368802693597471
league,CBLOL,trajectory,173,0.1442837257097825,0.43937700579006866
league,CBLOL,strength,173,0.13873746812299417,0.4242914765082102
league,CBLOL,full,173,0.14026224360642348,0.42758346385264207
league,LCK,gold,377,0.15663027828571305,0.4739523719401004
league,LCK,state,377,0.1548050595919608,0.46999715120489477
league,LCK,trajectory,377,0.15545824849491754,0.4715430469320878
league,LCK,strength,377,0.15219800289649715,0.4630120974508775
league,LCK,full,377,0.15308042133622185,0.4652532193540889
league,LCP,gold,181,0.1540964969106625,0.4711466435528396
league,LCP,state,181,0.15042246927375486,0.46197238259365647
league,LCP,trajectory,181,0.15533617989098714,0.4727861555118917
league,LCP,strength,181,0.14775709395286618,0.45379683996606385
league,LCP,full,181,0.15235983136542294,0.46448454424712515
league,LCS,gold,162,0.16503595417669345,0.495260355673417
league,LCS,state,162,0.16342869654363631,0.49299205628869613
league,LCS,trajectory,162,0.16356385191292075,0.4915752965720291
league,LCS,strength,162,0.15446923046373778,0.4697842211073992
league,LCS,full,162,0.1548513259209358,0.4695546195745357
league,LEC,gold,247,0.1902566186093868,0.562600843887168
league,LEC,state,247,0.1889126322264581,0.5605430977682103
league,LEC,trajectory,247,0.18895279852781974,0.5595639041770086
league,LEC,strength,247,0.18194988423652442,0.5464468465073853
league,LEC,full,247,0.1824142288650111,0.5462099692127335
league,LPL,gold,375,0.15486874957884916,0.47294591318611673
league,LPL,state,375,0.15020534998262544,0.46003332335562386
league,LPL,trajectory,375,0.1540429942662312,0.46955173786762877
league,LPL,strength,375,0.15223179896355304,0.4629102299671472
league,LPL,full,375,0.1558170046749083,0.47194580904613215
fold,2026-04,gold,375,0.14477166472963396,0.4450834047719787
fold,2026-04,state,375,0.13942651941985584,0.42984321140242326
fold,2026-04,trajectory,375,0.1426679041159082,0.43712341310541775
fold,2026-04,strength,375,0.13747812356272163,0.4248174556501626
fold,2026-04,full,375,0.14149369150481791,0.43402032188735945
fold,2026-05,gold,398,0.17660191213473966,0.5254682406429244
fold,2026-05,state,398,0.1722643679407773,0.5178047608398708
fold,2026-05,trajectory,398,0.17545184325695645,0.5248297405844258
fold,2026-05,strength,398,0.1684204008846781,0.50860857468194
fold,2026-05,full,398,0.17128279708312613,0.5150493718645626
fold,2026-06,gold,90,0.13790736245497076,0.43435835553794816
fold,2026-06,state,90,0.13371290853693524,0.41948674386825124
fold,2026-06,trajectory,90,0.13056842676120026,0.4124163470885266
fold,2026-06,strength,90,0.13495214980058548,0.4150733916509186
fold,2026-06,full,90,0.13243748572117933,0.40949956722405434
fold,2026-07,gold,121,0.1666438017160113,0.49618555739863285
fold,2026-07,state,121,0.16771808053184684,0.4950978647886323
fold,2026-07,trajectory,121,0.16894378719393424,0.49795842755877745
fold,2026-07,strength,121,0.1684233636218039,0.48675728215633063
fold,2026-07,full,121,0.16880247810165805,0.48858388310657835
fold,2026-08,gold,429,0.16744751612414394,0.5044751380738388
fold,2026-08,state,429,0.16609142063381416,0.5024174674700634
fold,2026-08,trajectory,429,0.1671916216363093,0.5043525852749483
fold,2026-08,strength,429,0.16064251812579058,0.49100076801222214
fold,2026-08,full,429,0.16178815308367997,0.4930785891699382
fold,2026-09,gold,102,0.13894114501667423,0.4308515923480188
fold,2026-09,state,102,0.15075865010957576,0.45825810937654293
fold,2026-09,trajectory,102,0.1506925577064834,0.4582981587923199
fold,2026-09,strength,102,0.14853576265909818,0.45232981268820266
fold,2026-09,full,102,0.14848180152207852,0.45248919843948665
