league,next5,games,win_rate
CBLOL,Grew by >500g,146,0.9383561643835616
CBLOL,Lead lost by 25,30,0.26666666666666666
CBLOL,Shrank by >500g,25,0.56
CBLOL,Within 500g,42,0.8809523809523809
CBLOL,Won before 25,7,1.0
LCK,Grew by >500g,278,0.8992805755395683
LCK,Lead lost by 25,68,0.20588235294117646
LCK,Lost before 25,1,0.0
LCK,Shrank by >500g,76,0.7105263157894737
LCK,Within 500g,51,0.7647058823529411
LCK,Won before 25,28,1.0
LCP,Grew by >500g,171,0.9005847953216374
LCP,Lead lost by 25,42,0.14285714285714285
LCP,Shrank by >500g,29,0.7931034482758621
LCP,Within 500g,29,0.7931034482758621
LCP,Won before 25,12,1.0
LCS,Grew by >500g,122,0.8770491803278688
LCS,Lead lost by 25,36,0.3333333333333333
LCS,Shrank by >500g,16,0.625
LCS,Within 500g,28,0.6785714285714286
LCS,Won before 25,19,1.0
LEC,Grew by >500g,214,0.8644859813084113
LEC,Lead lost by 25,45,0.28888888888888886
LEC,Shrank by >500g,46,0.5652173913043478
LEC,Within 500g,53,0.7547169811320755
LEC,Won before 25,12,1.0
LPL,Grew by >500g,302,0.8741721854304636
LPL,Lead lost by 25,80,0.2875
LPL,Lost before 25,1,0.0
LPL,Shrank by >500g,66,0.7424242424242424
LPL,Within 500g,62,0.7258064516129032
LPL,Won before 25,24,1.0
