league,teamname,source_games,eligible_games,coverage_pct
CBLOL,FURIA,72,72,100.0
CBLOL,Fluxo W7M,55,55,100.0
CBLOL,LOUD,67,67,100.0
CBLOL,Leviatan,51,51,100.0
CBLOL,LØS,76,76,100.0
CBLOL,RED Canids,65,65,100.0
CBLOL,Vivo Keyd Stars,60,60,100.0
CBLOL,paiN Gaming,54,54,100.0
LCK,BNK FEARX,111,111,100.0
LCK,DN SOOPers,88,88,100.0
LCK,Dplus Kia,120,120,100.0
LCK,Gen.G,100,100,100.0
LCK,HANJIN BRION,93,93,100.0
LCK,Hanwha Life Esports,99,99,100.0
LCK,KT Rolster,102,102,100.0
LCK,Kiwoom DRX,96,96,100.0
LCK,Nongshim RedForce,86,86,100.0
LCK,T1,109,109,100.0
LCP,CTBC Flying Oyster,79,79,100.0
LCP,Deep Cross Gaming,91,91,100.0
LCP,DetonatioN FocusMe,46,46,100.0
LCP,Fukuoka SoftBank HAWKS gaming,60,60,100.0
LCP,GAM Esports,73,73,100.0
LCP,Ground Zero Gaming,63,63,100.0
LCP,MVK Esports,75,75,100.0
LCP,Team Secret Whales,79,79,100.0
LCS,Cloud9,63,63,100.0
LCS,Dignitas,41,41,100.0
LCS,Disguised,47,47,100.0
LCS,FlyQuest,59,59,100.0
LCS,LYON,66,66,100.0
LCS,Sentinels,58,58,100.0
LCS,Shopify Rebellion,42,42,100.0
LCS,Team Liquid,66,66,100.0
LEC,Fnatic,60,60,100.0
LEC,G2 Esports,86,86,100.0
LEC,GiantX,83,82,98.79518072289157
LEC,Karmine Corp,101,101,100.0
LEC,Karmine Corp Blue,11,11,100.0
LEC,Los Ratones,11,11,100.0
LEC,Movistar KOI,83,82,98.79518072289157
LEC,Natus Vincere,71,71,100.0
LEC,SK Gaming,52,51,98.07692307692308
LEC,Shifters,54,54,100.0
LEC,Team Heretics,55,55,100.0
LEC,Team Vitality,77,76,98.7012987012987
LPL,Anyone's Legend,138,106,76.81159420289855
LPL,Bilibili Gaming,140,112,80.0
LPL,EDward Gaming,78,63,80.76923076923077
LPL,Invictus Gaming,116,83,71.55172413793103
LPL,JD Gaming,139,109,78.41726618705036
LPL,LGD Gaming,97,78,80.41237113402062
LPL,LNG Esports,53,41,77.35849056603773
LPL,Ninjas in Pyjamas,93,71,76.34408602150538
LPL,Oh My God,34,30,88.23529411764706
LPL,Team WE,128,113,88.28125
LPL,ThunderTalk Gaming,80,64,80.0
LPL,Top Esports,127,97,76.37795275590551
LPL,Ultra Prime,25,22,88.0
LPL,Weibo Gaming,100,81,81.0
