league,teamname,condition,n,wins,expected_wins,win_rate,adjusted_pp,low,high,source_games,eligible_games,coverage_pct
CBLOL,FURIA,Ahead,31,27,23.907792858408854,0.8709677419354839,5.069192035395316,-1.0823200767818337,11.07269582295167,72,72,100.0
CBLOL,FURIA,Behind,16,6,4.054436945377887,0.375,4.229484901352419,-3.7314758753498243,13.216991403705851,72,72,100.0
CBLOL,Fluxo W7M,Ahead,19,14,13.549006532890724,0.7368421052631579,0.9203948308352583,-8.135635510257849,8.600581131307079,55,55,100.0
CBLOL,Fluxo W7M,Behind,25,3,5.074119271270444,0.12,-3.771125947764444,-9.105846747180038,2.1477888204265154,55,55,100.0
CBLOL,LOUD,Ahead,27,23,21.233896972688516,0.8518518518518519,3.098426363704362,-3.955225338120576,8.734129707154699,67,67,100.0
CBLOL,LOUD,Behind,19,6,4.422753066446401,0.3157894736842105,3.2188712929665275,-4.297872225113405,10.465210707212622,67,67,100.0
CBLOL,Leviatan,Ahead,5,3,2.8827861959714065,0.6,0.33489658293883856,-6.968701545754639,7.232739260038236,51,51,100.0
CBLOL,Leviatan,Behind,22,1,3.5191705680565493,0.045454545454545456,-4.844558784724134,-8.03062959643853,-0.18654148288978387,51,51,100.0
CBLOL,LØS,Ahead,41,33,33.52353402321202,0.8048780487804879,-0.737371863678904,-8.103990087546288,5.996063710431252,76,76,100.0
CBLOL,LØS,Behind,18,4,4.357014948864589,0.2222222222222222,-0.7437811434678911,-7.1609210932290415,5.623612594396762,76,76,100.0
CBLOL,RED Canids,Ahead,22,17,17.305979231344967,0.7727272727272727,-0.5884215987403226,-6.960004274187667,5.447374265140291,65,65,100.0
CBLOL,RED Canids,Behind,21,3,6.524169638745599,0.14285714285714285,-6.910136546559999,-14.285560827124677,2.11948983156705,65,65,100.0
CBLOL,Vivo Keyd Stars,Ahead,12,11,9.630494561571217,0.9166666666666666,3.2607272343542464,-2.6799938493050233,7.740854872874906,60,60,100.0
CBLOL,Vivo Keyd Stars,Behind,30,8,6.855571597387274,0.26666666666666666,1.9073806710212116,-4.158941246815182,8.69079787347507,60,60,100.0
CBLOL,paiN Gaming,Ahead,16,13,11.874345317167815,0.8125,2.4470753974612722,-2.9838894627642514,7.357930558336014,54,54,100.0
CBLOL,paiN Gaming,Behind,22,1,4.284928270595737,0.045454545454545456,-6.317169751145648,-10.015546607761522,-3.330169107363254,54,54,100.0
LCK,BNK FEARX,Ahead,31,23,23.988773543749975,0.7419354838709677,-1.6209402356556923,-8.933607191479547,5.244772790542788,111,111,100.0
LCK,BNK FEARX,Behind,47,11,10.195024500866943,0.23404255319148937,1.0454227261468263,-5.072576142532116,7.043224843867731,111,111,100.0
LCK,DN SOOPers,Ahead,12,9,8.885829616582392,0.75,0.27183424623240265,-7.379402901020752,6.805261030624607,88,88,100.0
LCK,DN SOOPers,Behind,43,4,5.841119948711023,0.09302325581395349,-2.5220821215219478,-7.855838221926308,3.741680553296626,88,88,100.0
LCK,Dplus Kia,Ahead,54,39,41.62859150431492,0.7222222222222222,-3.1292756003749096,-11.700548518783247,4.41907572235896,120,120,100.0
LCK,Dplus Kia,Behind,31,8,8.601755669933052,0.25806451612903225,-0.9864847048082825,-8.243259447395543,6.60553310661187,120,120,100.0
LCK,Gen.G,Ahead,49,42,41.103879088334224,0.8571428571428571,1.1343302679313618,-5.424425469153447,6.886184860201061,100,100,100.0
LCK,Gen.G,Behind,29,13,10.350410241439118,0.4482758620689655,4.490830099255731,-3.1032492008388695,12.346609985869135,100,100,100.0
LCK,HANJIN BRION,Ahead,35,22,25.49363686020332,0.6285714285714286,-5.374825938774337,-12.997335816773706,2.0042237547568624,93,93,100.0
LCK,HANJIN BRION,Behind,39,9,9.103473189236334,0.23076923076923078,-0.14996114382077436,-6.440093573114056,6.52025660226951,93,93,100.0
