gameid,date,league,teamname,opponent,result,golddiffat20,xpdiffat20,csdiffat20,killdiff,gold_velocity,p_gold,p_state,state_edge
ESPORTSTMNT03_3043471,2022-11-29 17:20:08,NEXO,Kawaii Kiwis,Oxygen Valiants,1,786.0,4935.0,-35.0,13.0,1312.0,0.5839354411175175,0.8379062055964348,0.2539707644789173
ESPORTSTMNT06_2531658,2022-07-31 15:41:50,CBLOL,INTZ,Liberty,1,203.0,4674.0,38.0,3.0,1947.0,0.5187993034387897,0.7726345388828169,0.2538352354440272
ESPORTSTMNT01_2915196,2022-05-30 18:39:22,NLC,Dusty,MNM Gaming,1,701.0,5800.0,63.0,2.0,752.0,0.5796244751327717,0.820701456513713,0.24107698138094125
NA1_4219261456,2022-02-17 01:51:49,UPL,University of Texas at Dallas,Cosmic Wolf Esports,1,1212.0,5973.0,58.0,3.0,2220.0,0.6375707418067122,0.875081217827766,0.2375104760210538
ESPORTSTMNT03_2895362,2022-07-31 15:42:30,HC,Inside Games Challengers,ERKO Esports,0,125.0,4444.0,-4.0,4.0,2494.0,0.5187232426519035,0.7512748605347622,0.23255161788285872
ESPORTSTMNT04_2220386,2022-03-11 20:12:41,ESLOL,mCon esports,KRC Genk Esports,1,740.0,3830.0,42.0,4.0,1100.0,0.5853209928851848,0.817097954994881,0.23177696210969623
ESPORTSTMNT02_2810004,2022-06-14 10:57:06,LCKC,Liiv SANDBOX Youth,KT Rolster Challengers,1,255.0,4651.0,50.0,2.0,708.0,0.5304984545177569,0.7616560606458942,0.2311576061281373
ESPORTSTMNT06_2570232,2022-09-04 09:56:55,ESLOL,Activit-E,Rift Sloths,1,416.0,4316.0,29.0,3.0,2839.0,0.5418363304085392,0.7715720695719117,0.22973573916337253
ESPORTSTMNT02_3059701,2022-10-29 05:39:36,LAS,DRX Academy,Hanwha Life Esports Academy,0,515.0,4028.0,44.0,3.0,2453.0,0.5538810703388397,0.7818485041631336,0.22796743382429385
ESPORTSTMNT01_3083165,2022-08-10 21:08:18,LCSA,Area of Effect Esports,Golden Guardians Academy,1,334.0,3745.0,-21.0,7.0,692.0,0.5335718908958984,0.7611636119581957,0.2275917210622973
ESPORTSTMNT05_2760540,2022-06-13 19:38:14,EBL,Diamant Esports,Nexus KTRL,1,338.0,4493.0,-3.0,3.0,2426.0,0.5340221694267266,0.7600669661346481,0.22604479670792144
ESPORTSTMNT01_2690210,2022-01-10 07:44:08,LCKC,Nongshim Esports Academy,HANJIN BRION Challengers,1,944.0,4947.0,84.0,2.0,1051.0,0.6028141153184361,0.8283257051605657,0.2255115898421296
ESPORTSTMNT02_3044150,2022-10-05 17:28:47,NLC Aurora Open,Verdant,UniQ Esports Club,1,400.0,3887.0,120.0,3.0,-1777.0,0.5494080433375723,0.7667544580521981,0.2173464147146258
ESPORTSTMNT01_2771111,2022-03-06 13:52:49,HC,Team Sampi,Inaequalis,1,943.0,4549.0,24.0,5.0,-767.0,0.6090105575124656,0.8260702087484239,0.21705965123595827
ESPORTSTMNT01_2915863,2022-06-01 21:40:31,LMF,Stone Movistar,River Plate Gaming,0,580.0,3415.0,9.0,4.0,918.0,0.5692896904655651,0.7858830296339621,0.21659333916839696
